Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 Colombia,17821.5247,18259.1443,18439.8371,18448.6754,18241.2136,18176.316,18240.6386,16528.4963,18004.5929,19051.3406
 Comoros,5657.503,5600.7595,5493.8313,5505.7829,5542.8383,5571.9851,5505.9418,5345.1447,5319.445,5315.473
 Congo,9082.6199,9499.9305,9348.135,8355.8503,7712.2726,7359.3204,7265.0943,6644.9576,6544.8525,6467.8115
 Costa Rica,22034.964,22380.7107,22776.3883,23316.2799,23874.1435,24102.8914,24304.373,22925.193,24429.1187,25255.8846
 Cote d’Ivoire,7492.3235,8002.4608,8334.4783,8672.4253,9037.4546,9184.0039,9475.5257,9336.5448,9683.8267,10017.7432
 Croatia,3407.642,3405.0168,3505.5468,3645.5562,3785.0772,3910.7194,4064.9943,3739.737,4290.0879,4593.9165
 Cuba,24223.893,24382.3987,25379.0938,25429.9812,25815.8802,26325.107,26214.7872,23286.8357,23590.9858,24021.7233
 Curacao,29427.3065,28738.5824,28423.546,27748.2531,27095.6739,24332.8952,22322.9887,18584.5564,19154.4741,20472.5969
 Cyprus,37022.6107,36545.8337,37833.9191,39963.9672,41785.1705,43563.7243,46076.1633,44143.8534,48206.9384,50297.0026
 Czech Republic,35956.0502,36701.2118,38689.209,39729.2931,41859.5227,43292.95,44698.5874,42352.3439,44024.2294,45208.3904
 DR Congo,1874.1414,1982.2588,2046.9421,2019.8066,2021.5373,2072.5926,2099.7495,2071.304,2132.7194,2252.7168
 Denmark,57955.2034,58673.5625,59530.5376,60952.1657,62170.5599,62931.2068,63410.8187,61425.4356,65197.4474,66565.9774
 Djibouti,5707.4725,5949.7757,6233.3691,6511.392,6700.6812,6852.513,7058.836,6983.8688,7133.9058,7190.0398
 Dominica,14948.2255,15479.2481,14865.5584,15106.278,13955.2521,14284.0685,14866.8212,12226.9455,12905.7923,13492.0385
 Dominican Republic,19165.6421,20111.5601,21092.2642,22081.0745,22702.451,23879.0935,24674.3895,22629.7286,24980.5186,25779.2595
 East Africa,3920.4,4032.5,4122.9,4206.3,4275.9,4361.3,4436.7,4316.2,4408.4,4477.3
 East Asia,18614.9,19565.2,20442.3,21377.8,22451.4,23525.5,24476.1,24586.1,26255.4,26829.5
 Eastern Europe,15874.2,16390.6,17042.9,17573.1,18497.8,19380.2,20149.7,19425.2,20751.6,21083.2
 Ecuador,16734.3252,16961.0619,16573.8765,15974.685,15945.8013,15685.8484,15233.2415,13732.8798,14039.0466,14179.2768
 Egypt,15336.1293,15401.2066,15723.3536,16058.2604,16372.5381,16886.5533,17463.4738,17722.033,17951.2868,18779.3936
 El Salvador,11656.159,11667.7705,11756.2322,11859.0555,11934.5305,12039.9511,12160.039,11054.8031,12116.1901,12270.3487
 Equatorial Guinea,47873.8103,45917.3109,39949.8592,34949.2532,31704.4196,28653.8952,26163.4952,24290.5933,23885.7882,24279.4718
 Eritrea,2913.5128,3792.976,3005.0737,3197.1694,2835.1118,3135.4972,3181.2189,3088.2628,3092.3605,3088.3068
 Estonia,31864.0578,32910.0953,33548.7875,34626.9162,36646.3109,37966.0736,39318.9339,39105.701,42352.1631,41965.7274
 Ethiopia,2884.2124,3060.9996,3253.4458,3427.4933,3615.428,3722.6469,3892.2572,3984.8686,4067.0438,4141.1947
 Europe,38880.1,39454.7,40280.1,40978,42034.4,42776.6,43425.5,40624.9,43169.3,44437.2
 European Union,39103.8,39671.5,40512,41208.8,42290.7,43016.9,43662.6,40739.6,43316.9,44605
 Faroe Islands,63599.329,66924.8641,66803.7233,66494.2834,67661.3535,68537.1692,70653.2714,68286.2914,71555.7805,75165.1215
 Fiji,15338.5722,16080.8085,16699.9707,17012.4821,17833.7512,18440.3302,18274.9388,15075.7902,14229.1824,16928.9676
 Finland,49782.2327,49330.8335,49324.2419,50464.1708,51854.914,52269.9342,52722.0008,51273.1014,52597.5949,53281.2018
 France,46239.8836,46478.4468,46804.6829,47138.7487,48045.9267,48766.256,49473.8259,45575.9086,48337.8476,49325.2555
 French Polynesia,1724825.4909,1710148.8259,1715494.4022,1734758.7611,1788338.8709,1797956.8064,1821671.0829,1668037.8106,1678550.7304,1728001.7077
 Gabon,23490.6152,23563.7691,23637.9966,23407.8546,22894.1308,22518.9606,22849.8184,21917.5547,21762.3723,21916.874
 Gambia,3852.908,3678.5985,3708.6193,3663.5473,3721.1265,3866.2419,3978.498,3876.0206,3914.1738,3956.6379
 Georgia,13195.6467,13822.8165,14291.9471,14753.7442,15509.9121,16305.9014,17173.9801,16077.313,17854.9786,19855.5123
 Germany,49229.4884,50172.3601,50787.4403,51778.9156,53000.2217,53360.2273,53784.9434,51628.772,53245.0292,54260.9947
 Ghana,7733.8899,7743.3731,7705.6101,7763.5865,8182.3427,8475.4362,8804.9704,8626.3562,8834.9126,8880.3832
 Gibraltar,72194.7711,77758.1337,87567.8994,101532.2586,100391.88,117012.6002,119784.0294,115114.0774,111887.17,112336.7316
 Greece,29592.9321,29868.2219,29957.7598,29964.5668,30449.5638,31120.3126,31862.0111,29030.4403,31623.3743,33505.5029
 Greenland,55289.2403,57631.823,55936.4339,58317.4717,58127.7554,58308.6365,59839.2579,59792.8729,60322.0219,60965.0032
