Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 South Sudan,2452.8636,2543.0169,2315.4612,2241.0337,2345.4579,2581.0439,2868.661,2702.1381,2570.4296,1418.8398
 South-East Asia,14068.3,14416.4,14732.8,15220.7,15788.3,16371.6,16894.5,16063.7,16379.5,17097.3
 Spain,37517.1662,38201.9505,39758.7514,40896.7069,41995.9446,42737.0142,43214.3407,38121.8568,40356.8541,42504.2453
 Sri Lanka,14252.7751,15040.3366,15551.1738,16215.0602,17140.9162,17418.4035,17262.1361,16346.8585,16797.827,15364.7106
 Sub-Saharan Africa,7067.5,7181.3,7179.3,7076.1,7044.4,7031.8,7010.7,6673.9,6756.7,6792.6
 Sudan,8561.1479,8677.948,8524.7418,8505.2769,8240.7921,7723.1064,7307.6878,6824.6404,6493.5425,6241.5384
 Suriname,27323.2524,27030.3702,25748.5216,24125.574,24128.7559,24919.0327,24778.1584,20458.0795,19657.463,19872.862
 Swaziland,13467.4237,13322.6627,13373.233,13290.1602,13331.1184,13416.0242,13536.3238,13082.4344,14235.2747,14123.7035
 Sweden,51067.9736,53033.3044,55963.3335,56461.4448,57631.0705,58460.4805,59556.8891,57764.9857,60805.087,62021.1065
 Switzerland,71364.623,72377.5055,72645.1771,73291.2068,73561.1655,75068.3602,75341.5072,73146.1429,76589.2781,78091.8291
 Syrian Arab Republic,6864.1976,6847.7015,7029.2293,6688.5275,6587.3229,6431.5217,6064.3487,5690.7829,5475.2572,5080.3825
 Taiwan,50667.4214,52412.1851,52633.789,53244.9223,54500.1326,55529.6621,56773.7381,58284.5218,61772.127,63062.2409
 Tajikistan,4441.5665,4610.9489,4754.4592,4948.352,5165.3047,5415.7669,5668.094,5772.8257,6158.6872,6491.206
 Tanzania,4133.6823,4281.4417,4402.3706,4546.5577,4687.5539,4779.4487,4888.3335,4818.5841,4857.0751,4907.8984
 Thailand,17703.542,17676.7412,18026.4655,18429.9808,18986.4003,19599.2402,19853.2022,18511.6732,18666.9072,19041.7567
 Timor-Leste,5504.289,5591.3325,5602.851,5657.1714,5347.0872,5176.7961,6223.1503,7988.7584,8172.1387,6312.1571
 Togo,3212.9562,3300.6332,3386.062,3433.2583,3474.7016,3543.0039,3615.8373,3591.8099,3700.8293,3806.5947
 Tonga,8831.728,9004.2727,9123.7166,9728.7594,10042.7314,10045.7033,10078.9185,10020.5296,9601.7983,9280.3967
 Trinidad and Tobago,35323.9614,36313.7265,35698.1019,32729.6276,30896.0718,30076.1421,29788.2167,27049.5179,26558.6177,26776.7171
 Tunisia,13288.3446,13506.3503,13462.3265,13454.9305,13611.5142,13835.5072,13933.3456,12598.1928,13053.0111,13272.7073
 Turkey,31472.0131,32133.5031,33194.6426,33490.865,35317.5908,35866.5006,35665.2699,35853.8086,39444.4883,41148.7924
 Turkmenistan,15773.3269,17006.3854,17732.2463,18464.6628,19308.3989,20158.7753,21088.7925,20058.6639,20646.0097,20693.5489
 Turks and Caicos Islands,27716.9233,28680.2383,30249.0082,30654.7496,28434.1704,28603.0732,28803.2029,20421.3489,21779.9965,22796.2584
 Tuvalu,5181.2007,5150.3745,5659.3746,5964.8336,6102.3467,6144.0382,6917.5433,6546.8921,6580.6681,6574.3259
 US Virgin Islands,42690.2413,41926.2365,41771.8033,42498.3507,42290.138,43244.2197,44701.9183,44063.4689,45569.2273,45517.4008
 USA,64973.3751,65788.3228,67586.7073,67864.7005,68952.1836,70324.0973,71305.8549,68773.2688,72559.7981,73434.4307
 Uganda,4476.0021,4529.7939,4571.1778,4570.4202,4483.5135,4542.9607,4610.1792,4529.9483,4486.1564,4503.5955
 Ukraine,13978.6652,12617.1529,11425.8296,11737.3202,12057.7754,12534.6046,13003.5741,12606.0419,13165.4667,10227.2726
 United Arab Emirates,67966.6865,69785.8137,73439.3957,76383.1444,75819.0066,75732.1849,75576.0683,71047.198,73528.1798,78877.8634
 United Kingdom,42848.9292,43411.0088,44038.7834,44565.5672,45432.8632,45774.0893,46235.0762,41231.9558,44629.936,46365.038
 Uruguay,26776.4458,27446.6535,27343.2413,27598.3349,27876.3308,27733.0452,27770.8344,25871.6979,27112.4393,28326.8427
 Uzbekistan,8119.7235,8474.6055,8883.7305,9215.7898,9442.9214,9837.0567,10278.8374,10348.6289,10974.9696,11444.0177
 Vanuatu,4892.7807,4921.5763,4820.8045,4925.1222,5109.8283,5134.125,5178.0423,4803.6175,4716.8165,4683.7485
 Venezuela,11464.2204,10819.8242,9974.8994,8178.1317,6924.016,5717.3613,4269.4046,3039.4523,3094.5651,3309.4537
 Viet Nam,9133.5759,9546.7852,10048.2254,10564.8259,11149.3623,11836.3638,12562.2748,12772.74,12954.6297,13845.9009
 West Africa,7494.9,7730.1,7760.7,7591.8,7594.4,7623.4,7669.5,7400.8,7499.3,7568.8
 West Asia,28930.4,29271.9,29090.8,29035,29363.6,29863,30058.1,29024.6,30646.3,31256.5
 Western Europe,45990.4,46547,47385.5,48092.2,49144.2,49796.9,50357.6,46894,49741.9,51377.2
 World,19959.9,20378.1,20765.2,21115.2,21620,22117.7,22453.7,21551.4,22645.5,23131.8
 Yemen,3332.2932,3190.8442,2209.2627,1930.697,1770.6749,1725.9558,1695.3621,1664.2303,1602.4364,1581.0757
 Zambia,6635.9845,6681.3166,6612.7935,6600.864,6572.7316,6580.0378,6424.7422,6016.5623,6166.5135,6269.8283
 Zanzibar,4017.1367,4138.3444,4258.446,4370.2343,4558.4624,4732.7864,4890.6945,4837.0183,4924.6492,5066.5787
 Zimbabwe,4356.7318,4322.5549,4308.9834,4244.2334,4306.1207,4401.9729,4009.422,3588.5692,3779.9048,3912.156
